Id,OverallQual,ExterQual,TotalBsmtSF,GrLivArea
2590,7,4,1501,1501
2591,6,3,585,2279
2592,7,4,1689,1689
2593,8,4,1546,1564
2594,7,3,1265,1240
2595,8,4,1267,1312
2596,8,4,1922,1922
2597,6,4,1491,1491
2598,7,4,1122,2486
2599,10,5,1824,1824
2600,3,3,0,2034
2601,6,3,920,936
2602,4,3,546,1092
2603,4,3,530,992
2604,4,3,546,1092
2605,4,3,546,1092
2606,5,3,923,1008
2607,6,3,1244,1356
2608,5,3,1160,1676
2609,5,3,716,1432
2610,5,3,796,796
2611,4,3,1396,1608
2612,5,3,1090,1178
2613,5,3,816,816
2614,5,3,864,887
2615,6,3,1178,1293
2616,6,3,1008,1024
2617,5,3,1617,1797
2618,6,3,1705,1390
2619,7,3,1851,1851
2620,6,3,813,1525
2621,6,3,781,1671
2622,6,3,821,1776
2623,8,4,1074,2064
2624,7,4,1700,2212
2625,8,4,2062,2687
2626,6,3,1160,1169
2627,8,3,1191,1204
2628,9,4,1398,2798
2629,10,5,1528,3390
2630,9,4,1094,2473
2631,10,5,1850,2698
2632,9,4,1390,2795
2633,9,4,1714,1714
2634,9,5,1910,2000
2635,6,3,988,1102
2636,7,3,945,1857
2637,7,4,1047,1083
2638,7,4,960,2318
2639,6,3,675,1875
2640,6,3,1103,1103
2641,4,3,864,874
2642,6,4,1487,1419
2643,6,3,525,1092
2644,5,3,765,1365
2645,6,3,494,1030
2646,6,3,483,948
2647,6,3,525,1092
2648,6,3,1069,1069
2649,5,3,943,1387
2650,7,3,1055,1055
2651,6,3,855,1456
2652,9,4,1738,2589
2653,8,4,1618,1618
2654,7,4,1721,1740
2655,9,5,1868,1868
2656,9,4,1090,2206
2657,9,5,1606,2091
2658,8,4,1209,2253
2659,8,4,1054,2389
2660,8,4,1524,2358
2661,9,5,1792,1792
2662,9,5,1780,1780
2663,8,4,1420,1914
2664,9,5,1560,1565
2665,9,4,1686,1686
2666,9,5,1666,1666
2667,6,4,728,1456
2668,7,4,738,1492
2669,6,4,1326,1326
2670,8,4,1052,2373
2671,7,4,738,1492
2672,7,4,1220,1364
2673,7,4,1368,1511
2674,7,4,1365,1548
2675,7,4,1142,1142
2676,7,4,848,1598
2677,6,3,982,1889
2678,7,4,1035,2322
2679,8,4,1044,1976
2680,8,4,1160,2234
2681,9,4,1540,2855
2682,8,4,1342,2726
2683,9,4,1733,3500
2684,8,4,1290,2494
2685,8,4,1286,2799
2686,8,4,1100,1964
2687,8,4,1670,1670
2688,8,4,1504,1504
2689,8,4,1278,1278
2690,9,4,2036,2640
2691,6,4,858,1716
2692,6,3,1142,1142
2693,7,4,1400,1400
2694,6,3,1131,1131
2695,7,4,891,1686
2696,7,4,784,1585
2697,6,3,941,1837
2698,6,4,836,1731
2699,6,4,1398,1398
2700,6,4,1217,1217
2701,6,3,636,1320
2702,5,3,988,988
2703,6,3,0,1654
2704,5,3,864,1211
2705,5,3,984,984
2706,5,3,882,909
2707,5,3,925,925
2708,5,3,1024,1024
2709,5,3,912,912
2710,5,3,912,941
2711,7,4,1748,2646
2712,8,4,1334,2826
2713,7,4,1143,1143
2714,7,4,600,1223
2715,6,4,756,1524
2716,7,4,530,1080
2717,7,4,569,1694
2718,8,4,1568,1568
2719,5,3,1153,1193
2720,7,3,1334,1334
2721,5,3,1051,1051
2722,5,3,900,1770
2723,6,3,976,976
2724,5,3,833,898
2725,5,3,1051,1051
2726,5,3,1141,1141
2727,6,3,1187,1565
2728,6,3,1008,1488
2729,5,3,720,1440
2730,5,3,1248,1248
2731,6,3,816,816
2732,5,3,938,1043
2733,5,3,1251,1433
2734,5,3,1444,1624
2735,5,3,1056,1216
2736,5,3,704,1728
2737,5,3,936,936
2738,5,3,1584,1584
2739,6,3,1246,1246
2740,6,3,1008,1008
2741,5,3,1179,1364
2742,6,3,1121,1336
2743,5,3,1058,1370
2744,6,3,1124,1124
2745,6,3,1050,1050
2746,5,3,1008,1008
2747,6,3,216,1575
2748,5,3,301,1145
2749,5,3,1005,1005
2750,5,3,1056,1056
2751,5,3,884,884
2752,7,4,929,2039
2753,5,3,1015,1384
2754,5,3,2171,2640
2755,6,3,784,1312
2756,3,3,713,713
2757,3,3,715,715
2758,4,3,448,720
2759,6,3,663,1595
2760,4,3,1077,1760
2761,6,3,1083,1146
2762,6,3,1135,1207
2763,6,3,1313,1773
2764,7,3,0,1472
2765,7,3,1438,2448
2766,4,3,910,1521
2767,3,3,0,1040
2768,5,3,1556,1556
2769,5,3,1150,1150
2770,7,3,1045,1045
2771,5,3,864,864
2772,5,3,1025,1025
2773,5,4,716,2014
2774,5,3,1212,1668
2775,4,3,1147,1657
2776,6,3,780,1416
2777,7,3,712,1428
2778,7,3,502,1004
2779,4,4,938,1951
2780,6,3,1032,1032
2781,5,3,844,844
2782,4,3,576,864
2783,3,3,738,1376
2784,5,3,960,960
2785,5,3,816,1566
2786,3,3,492,492
2787,6,3,770,1182
2788,3,3,798,840
2789,7,3,1226,2104
2790,5,3,624,1248
2791,5,3,960,960
2792,3,2,1020,1020
2793,6,3,848,1827
2794,3,4,728,1162
2795,5,3,741,1324
2796,5,3,816,816
2797,6,3,1595,2486
2798,4,3,596,1430
2799,5,2,396,1330
2800,5,3,610,819
2801,6,3,984,984
2802,5,3,806,1422
2803,6,3,1921,1921
2804,5,3,0,1640
2805,5,3,0,1032
2806,5,3,830,879
2807,7,3,1073,1073
2808,5,3,1064,1064
2809,6,3,912,934
2810,5,3,1059,1059
2811,5,3,1176,1458
2812,6,3,960,1040
2813,5,3,1967,1967
2814,5,3,1949,1949
2815,5,3,872,872
2816,7,3,1865,1830
2817,5,3,1000,1000
2818,5,3,782,810
2819,7,4,430,1700
2820,4,3,967,1350
2821,5,3,799,1150
2822,6,3,672,2009
2823,6,3,1836,3672
2824,5,3,1776,1560
2825,5,3,0,1488
2826,5,3,1057,1057
2827,6,3,1000,1609
2828,6,4,868,2559
2829,6,4,1344,1440
2830,7,4,1308,1876
2831,7,4,1208,1208
2832,6,4,1836,1846
2833,8,4,1570,1590
2834,7,4,945,1809
2835,7,4,1614,1614
2836,7,4,784,1596
2837,6,3,1388,1388
2838,5,3,1100,1100
2839,6,4,781,1499
2840,7,3,1425,1425
2841,7,4,842,1749
2842,7,4,951,1779
2843,6,3,675,1388
2844,6,3,995,1282
2845,5,3,864,864
2846,7,4,826,1762
2847,6,3,840,1755
2848,8,4,1348,1358
2849,7,4,872,1909
2850,8,4,1090,2214
2851,7,4,1065,2049
2852,7,3,1054,1939
2853,7,4,930,1995
2854,6,4,848,848
2855,7,4,1390,1390
2856,7,4,851,1737
2857,7,4,784,1611
2858,7,4,1336,1336
2859,4,3,676,1436
2860,6,3,976,1012
2861,5,3,1176,1176
2862,7,4,796,1724
2863,6,3,914,914
2864,7,4,1150,2314
2865,6,3,547,1072
2866,7,4,970,1709
2867,4,3,624,936
2868,6,3,832,1338
2869,4,3,1093,1669
2870,4,3,954,1482
2871,4,3,864,1414
2872,2,3,498,498
2873,4,3,616,1273
2874,5,3,1058,1551
2875,6,3,780,1340
2876,7,3,624,1479
2877,6,3,755,1510
2878,7,3,818,1636
2879,5,3,992,1465
2880,5,3,824,1288
2881,6,3,817,1550
2882,5,3,901,1717
2883,7,4,1022,1671
2884,7,3,637,1609
2885,6,3,697,1801
2886,5,3,1168,2315
2887,5,3,976,976
2888,6,3,861,1285
2889,4,3,432,672
2890,4,3,641,641
2891,6,3,967,1638
2892,3,3,0,729
2893,5,2,660,1396
2894,3,3,216,936
2895,8,4,1573,1778
2896,8,4,1594,1646
2897,6,3,1625,1625
2898,6,3,1664,1664
2899,8,4,1491,1491
2900,6,3,1128,1210
2901,6,3,1632,1650
2902,6,4,1381,1403
2903,8,4,1728,1960
2904,9,5,1838,1838
2905,1,3,0,1600
2906,7,3,1288,1368
2907,5,3,264,1304
2908,5,3,864,874
2909,5,3,1652,1652
2910,4,3,630,630
2911,4,3,546,1092
2912,5,3,1104,1360
2913,4,3,546,1092
2914,4,3,546,1092
2915,4,3,546,1092
2916,4,3,546,1092
2917,5,3,1224,1224
2918,5,3,912,970
2919,7,3,996,2000
